date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2021-06-11,54.755001,54.834999,54.224998,54.794998,54.794998,4152000.0,4152000.0,0.08,0.073,109.24,"June 11, 21",0.00073
2021-06-14,54.82,55.185001,54.325001,55.18,55.18,4601800.0,4601800.0,0.72,0.657,109.79,"June 14, 21",0.00657
2021-06-15,55.224998,55.224998,54.494999,54.845001,54.845001,4773600.0,4773600.0,-0.76,-0.688,109.71,"June 15, 21",-0.00688
2021-06-16,54.93,54.990002,53.055,53.945,53.945,7662600.0,7662600.0,-1.97,-1.793,107.99333,"June 16, 21",-0.01793
2021-06-17,53.764999,54.255001,52.860001,53.904999,53.904999,7110200.0,7110200.0,0.28,0.26,107.34667,"June 17, 21",0.0026
2021-06-18,52.549999,52.794998,51.615002,51.735001,51.735001,11185000.0,11185000.0,-1.63,-1.551,104.09667,"June 18, 21",-0.01551
2021-06-21,52.395,53.990002,52.075001,53.924999,53.924999,9854600.0,9854600.0,3.06,2.92,106.66667,"June 21, 21",0.0292
2021-06-22,53.919998,55.115002,53.610001,54.73,54.73,8762400.0,8762400.0,1.62,1.502,108.96667,"June 22, 21",0.01502
2021-06-23,54.799999,55.130001,54.535,54.580002,54.580002,4960800.0,4960800.0,-0.44,-0.401,109.49667,"June 23, 21",-0.00401
2021-06-24,55.435001,55.724998,55.345001,55.535,55.535,9034000.0,9034000.0,0.2,0.18,111.07333,"June 24, 21",0.0018
2021-06-25,55.860001,56.294998,55.705002,56.110001,56.110001,6309800.0,6309800.0,0.5,0.448,112.07,"June 25, 21",0.00448
2021-06-28,56.330002,56.52,55.825001,56.474998,56.474998,9842200.0,9842200.0,0.29,0.257,112.54667,"June 28, 21",0.00257
2021-06-29,56.615002,56.880001,56.330002,56.540001,56.540001,6301600.0,6301600.0,-0.15,-0.132,113.16667,"June 29, 21",-0.00132
2021-06-30,56.375,56.959999,56.349998,56.695,56.695,8498800.0,8498800.0,0.64,0.568,113.33667,"June 30, 21",0.00568
2021-07-01,57.009998,57.689999,56.974998,57.645,57.645,9977200.0,9977200.0,1.27,1.114,114.87333,"July 01, 21",0.01114
2021-07-02,58.095001,59.084999,57.974998,58.959999,58.959999,10956200.0,10956200.0,1.73,1.489,117.34667,"July 02, 21",0.01489
2021-07-06,58.950001,59.040001,57.424999,58.575001,58.575001,8983200.0,8983200.0,-0.75,-0.636,116.69333,"July 06, 21",-0.00636
2021-07-07,58.924999,59.349998,58.044998,59.23,59.23,8007600.0,8007600.0,0.61,0.518,117.75,"July 07, 21",0.00518
2021-07-08,56.895,58.119999,56.41,57.814999,57.814999,14217200.0,14217200.0,1.84,1.617,114.89667,"July 08, 21",0.01617
2021-07-09,58.439999,59.740002,58.345001,59.619999,59.619999,7475600.0,7475600.0,2.36,2.019,118.47333,"July 09, 21",0.02019
2021-07-12,59.584999,60.375,59.400002,60.290001,60.290001,10706800.0,10706800.0,1.41,1.183,120.04333,"July 12, 21",0.01183
2021-07-13,59.955002,60.580002,59.529999,59.674999,59.674999,12580200.0,12580200.0,-0.56,-0.467,119.86,"July 13, 21",-0.00467
2021-07-14,60.395,60.595001,59.365002,59.880001,59.880001,11318000.0,11318000.0,-1.03,-0.853,119.89333,"July 14, 21",-0.00853
2021-07-15,59.299999,59.615002,58.465,59.275002,59.275002,10190600.0,10190600.0,-0.05,-0.042,118.24333,"July 15, 21",-0.00042
2021-07-16,59.82,59.82,57.715,57.904999,57.904999,10763400.0,10763400.0,-3.83,-3.201,116.96,"July 16, 21",-0.03201
2021-07-19,55.814999,56.02,54.119999,55.360001,55.360001,23309200.0,23309200.0,-0.91,-0.815,110.33333,"July 19, 21",-0.00815
2021-07-20,55.59,58.209999,55.27,57.724998,57.724998,16256600.0,16256600.0,4.27,3.841,114.13667,"July 20, 21",0.03841
2021-07-21,58.215,59.150002,58.130001,59.095001,59.095001,9314000.0,9314000.0,1.76,1.512,117.58333,"July 21, 21",0.01512
2021-07-22,59.174999,59.555,58.73,59.48,59.48,6685400.0,6685400.0,0.61,0.515,118.52,"July 22, 21",0.00515
2021-07-23,60.279999,61.435001,59.990002,61.275002,61.275002,5911200.0,5911200.0,1.99,1.651,121.8,"July 23, 21",0.01651
2021-07-26,61.025002,61.735001,60.994999,61.735001,61.735001,5418800.0,5418800.0,1.42,1.163,122.98,"July 26, 21",0.01163
2021-07-27,61.264999,61.275002,59.625,60.904999,60.904999,8183000.0,8183000.0,-0.72,-0.588,121.19667,"July 27, 21",-0.00588
